Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,latitude,longitude
1/21/2013,3,20.7,26.6,0.2,4.2,5.3,37,2,17,71,52,1015.8,1013.4,7,7,24.2,25.5,No,No,-33.8607,151.205
1/22/2013,3,20.9,29.6,0,7.4,7.3,52,17,17,63,63,1010.4,1007.4,2,7,26.5,26.5,No,No,-33.8607,151.205
1/23/2013,3,20.7,25.7,0,6.2,2.3,56,20,26,74,61,1015.3,1015.3,7,7,21.8,24.4,No,No,-33.8607,151.205
1/24/2013,3,20.4,29.8,0,7.2,10.5,33,20,20,70,52,1017.5,1015.3,7,2,22.7,29.3,No,No,-33.8607,151.205
1/25/2013,3,21.6,29.2,0,4.6,12.8,44,11,26,69,64,1012.9,1010.5,2,1,25.8,27.6,No,No,-33.8607,151.205
1/26/2013,3,23.7,28.2,0,11.4,8.3,57,17,30,73,70,1012.5,1011.1,7,6,26.5,27,No,Yes,-33.8607,151.205
1/27/2013,3,20.1,22.7,16.8,8.2,0,50,6,9,90,90,1009.2,1009,8,8,20.5,20.9,Yes,Yes,-33.8607,151.205
1/28/2013,3,20.5,23,15.8,2.2,0,69,7,24,88,92,1009.2,1008.1,8,8,22.7,21.6,Yes,Yes,-33.8607,151.205
1/30/2013,3,19.8,26,0.8,5.6,8.5,28,11,20,70,58,1014.7,1014,5,2,22.2,24.9,No,No,-33.8607,151.205
1/31/2013,3,21,27.8,0,5.6,12.2,54,19,24,66,64,1013.2,1008.4,3,1,25.9,27.2,No,Yes,-33.8607,151.205
3/1/2013,3,16.5,20.1,31.8,6.8,0,63,26,26,86,85,1014.4,1016.2,8,8,19.5,18.7,Yes,Yes,-33.8607,151.205
3/2/2013,3,17.9,23.1,15.2,6.2,0.1,57,30,31,73,78,1021,1020.8,7,8,19,20.1,Yes,Yes,-33.8607,151.205
3/3/2013,3,17.7,25.5,7.4,4.8,6.8,56,30,30,63,56,1021.6,1020.4,7,6,23.1,24.8,Yes,Yes,-33.8607,151.205
3/4/2013,3,19.5,26.1,4.4,6.6,9.6,39,22,22,53,49,1021.9,1020.9,3,3,23.7,25.1,Yes,No,-33.8607,151.205
3/5/2013,3,20.5,26.8,0.2,6,9.1,35,20,28,70,48,1021.7,1020,6,3,23.1,25.8,No,No,-33.8607,151.205
3/6/2013,3,20.2,27.3,0,7.4,7.6,39,6,24,78,55,1020.9,1018.4,7,3,21.6,25.6,No,No,-33.8607,151.205
3/7/2013,3,18.6,27.1,0,7.4,11.4,39,11,24,67,52,1019.9,1017.4,1,1,22.8,26.3,No,No,-33.8607,151.205
3/8/2013,3,20.3,26.8,0,7.8,6.1,31,9,20,67,57,1022.1,1020.5,4,4,22.4,26.2,No,No,-33.8607,151.205
3/9/2013,3,21.2,27.2,0.6,6.8,6.6,39,13,24,75,53,1021.3,1019,5,3,22.5,26,No,No,-33.8607,151.205
3/10/2013,3,19.6,28,0,7.4,9.8,35,7,20,67,49,1020.1,1017.5,5,5,22.3,25.5,No,No,-33.8607,151.205
3/11/2013,3,20.7,27.4,0,7.8,9.3,35,9,26,72,64,1020.7,1019.6,5,5,23.2,25.4,No,No,-33.8607,151.205
3/12/2013,3,20.4,26.4,0,6.4,7.9,30,13,19,78,58,1021,1018.4,7,2,21.9,25.7,No,No,-33.8607,151.205
3/13/2013,3,18.3,28.3,0,5.4,11.1,46,7,26,72,52,1014.5,1010.9,1,1,21.5,26.3,No,No,-33.8607,151.205
3/14/2013,3,20.8,24.3,0,7.8,1.3,43,7,11,72,68,1012,1011.2,6,7,23.1,24,No,No,-33.8607,151.205
3/15/2013,3,19.7,25,1,2.6,2,43,24,26,78,70,1016.1,1015.7,7,7,20.8,22.5,No,No,-33.8607,151.205
3/16/2013,3,20.1,28.7,0.2,4.2,10.7,31,11,20,70,65,1013.6,1008.9,1,3,23.3,25.8,No,No,-33.8607,151.205
3/17/2013,3,18.7,24,0,6.8,10.8,65,24,31,48,35,1013,1015,2,1,19.2,23.2,No,No,-33.8607,151.205
3/18/2013,3,13.9,23.8,0,8.6,10.2,41,20,24,55,44,1021.1,1020.2,2,2,16.8,22.3,No,No,-33.8607,151.205
3/19/2013,3,14.3,24.7,0,6.4,10.7,28,17,19,66,48,1024.2,1022.8,2,3,16.3,23,No,No,-33.8607,151.205
3/20/2013,3,16.1,24.8,0,5.4,9.9,37,13,20,71,53,1025.4,1022.3,3,3,19.3,24.5,No,No,-33.8607,151.205
3/21/2013,3,18.5,26.3,0,6.6,8,54,7,26,60,50,1019.4,1014.3,2,7,21.1,25,No,No,-33.8607,151.205
3/22/2013,3,21.1,31.8,0,6.8,4.4,59,20,20,56,41,1013.5,1011,6,7,26.1,31.5,No,No,-33.8607,151.205
3/23/2013,3,21.6,27,1,8.4,8.5,30,4,24,73,73,1016.5,1013.7,4,5,24.2,24,No,No,-33.8607,151.205
3/24/2013,3,20.6,28.4,0.8,4.8,10.5,28,9,17,71,65,1015.9,1011.5,1,1,22.6,26.4,No,No,-33.8607,151.205
3/25/2013,3,17.9,30,0,7,11,30,19,13,57,49,1018.3,1017.5,1,2,21.8,29.5,No,No,-33.8607,151.205
3/26/2013,3,20.6,26.9,0,4.4,4.3,39,9,24,83,73,1019.4,1016.3,7,7,21.7,25.5,No,No,-33.8607,151.205
3/27/2013,3,20.8,27.7,0,5.4,10.8,48,0,22,75,64,1019,1015.7,1,1,23.4,26.7,No,No,-33.8607,151.205
3/28/2013,3,21.5,33.5,0,7,7.3,37,2,11,71,34,1016.8,1012.1,1,7,23.4,30.9,No,Yes,-33.8607,151.205
3/29/2013,3,16.7,22.3,3,8,8.3,44,22,20,48,48,1018.5,1017.7,1,7,19.2,20.9,Yes,No,-33.8607,151.205
3/30/2013,3,14.8,23.6,0,5.2,10.6,35,13,24,62,53,1017.6,1012.8,1,6,18.7,22.6,No,No,-33.8607,151.205
3/31/2013,3,17.9,25.4,0,5,7.3,44,13,28,78,38,1011.4,1010.8,7,6,18.3,24.4,No,Yes,-33.8607,151.205
4/1/2013,3,17.4,24.3,2.8,6.6,5.8,26,13,17,83,56,1017.9,1015.5,6,3,18.6,23.5,Yes,No,-33.8607,151.205
4/2/2013,3,16.3,26.2,0,3.8,10.9,39,19,19,67,41,1016,1013.8,0,2,19,25.4,No,Yes,-33.8607,151.205
4/3/2013,3,17,18.6,27.4,6.6,0,48,22,20,88,79,1020.9,1021.7,7,8,17,18,Yes,Yes,-33.8607,151.205
4/4/2013,3,15.7,20.9,61.4,5,0.4,31,17,9,93,89,1028.2,1027.8,8,8,16.6,17.7,Yes,Yes,-33.8607,151.205
4/5/2013,3,15.6,23.6,18.4,0.8,4.3,24,9,7,83,55,1030.4,1028.4,7,6,17.5,22.9,Yes,Yes,-33.8607,151.205
4/6/2013,3,15.6,20.6,2.4,3.6,1.6,31,11,6,93,75,1028,1025.2,5,7,17,18.8,Yes,Yes,-33.8607,151.205
4/7/2013,3,14.2,22.7,3.8,2.4,7,22,9,15,73,62,1024.5,1021.6,3,3,19,22.2,Yes,Yes,-33.8607,151.205
4/8/2013,3,14.6,24.2,2,3.4,8.3,26,15,17,72,61,1025.3,1023.9,1,6,18.4,22.5,Yes,Yes,-33.8607,151.205
4/9/2013,3,15.6,22,5.2,2.4,3.6,24,15,6,90,73,1026.7,1024.3,6,3,16.7,20.7,Yes,Yes,-33.8607,151.205
4/10/2013,3,14.4,24.1,2,2.2,10.4,30,13,20,72,57,1024.8,1021.3,1,2,18.9,23,Yes,No,-33.8607,151.205
4/11/2013,3,15.2,25.3,0,4.6,10.8,26,13,17,71,43,1023.5,1021.6,1,1,19,24.7,No,No,-33.8607,151.205
4/12/2013,3,15.6,26,0,4.4,10.3,31,13,19,73,47,1025.9,1022.8,1,1,19.7,24.2,No,No,-33.8607,151.205
4/13/2013,3,15.7,25.4,0,4.8,10.7,35,17,22,71,55,1021.5,1016.4,1,1,19.6,23.7,No,No,-33.8607,151.205
4/14/2013,3,16.1,27.7,0,5.4,10.6,24,17,13,72,54,1013.9,1010.9,2,2,19,25.2,No,No,-33.8607,151.205
4/15/2013,3,17.4,27.9,0,5.8,5.7,37,9,11,75,49,1010.1,1007.4,7,4,19,26.2,No,Yes,-33.8607,151.205
4/16/2013,3,16.9,22,7,3.2,4.4,41,17,20,88,69,1015,1013.5,8,6,17.2,21.4,Yes,No,-33.8607,151.205
4/17/2013,3,14.2,23.6,0,4,7.7,30,13,17,75,65,1016.7,1014,1,7,17.7,21.9,No,No,-33.8607,151.205
4/18/2013,3,15.4,24.5,0.2,2.6,9.1,41,15,26,76,69,1014.7,1012.5,1,6,18.5,21.4,No,No,-33.8607,151.205
4/19/2013,3,13.3,20.2,0.4,4.6,10.5,65,20,35,50,39,1014.7,1012.8,2,4,15.3,20,No,Yes,-33.8607,151.205
4/21/2013,3,10.9,22.2,32.8,2.8,9.7,33,15,15,71,56,1016.1,1012.4,1,1,14.4,20,Yes,No,-33.8607,151.205
4/22/2013,3,13.9,24.7,0.2,2.6,8.1,41,13,11,85,39,1011,1006.9,6,2,14.6,24.2,No,No,-33.8607,151.205
4/23/2013,3,12.7,25.3,0.2,3.6,10.4,43,15,15,57,43,1012.7,1011.7,1,2,16.9,23.4,No,No,-33.8607,151.205
4/24/2013,3,12.3,23.8,0,3.6,10.8,35,20,13,62,27,1018.9,1015.9,1,1,15.5,23.4,No,No,-33.8607,151.205
4/25/2013,3,12.5,23.2,0,4.8,10.1,33,20,17,52,45,1021.8,1019.5,2,1,15.1,20.3,No,No,-33.8607,151.205
4/26/2013,3,14,27.2,0,3.4,10.7,41,17,13,56,30,1022.6,1019.1,1,0,17.3,25.9,No,No,-33.8607,151.205
4/27/2013,3,14,26.3,0,4.4,9.5,26,17,19,65,51,1022,1017.7,1,1,17.2,22.6,No,No,-33.8607,151.205
4/28/2013,3,14.4,28.7,0,4.6,10.1,28,7,15,59,29,1019,1016,1,1,18.6,28.1,No,No,-33.8607,151.205
4/29/2013,3,15.9,26.5,0,6.2,9.3,26,13,13,59,73,1022.4,1020.9,1,3,18.5,22.6,No,No,-33.8607,151.205
4/30/2013,3,18.4,22.7,0,2.8,4,35,15,19,80,71,1025.6,1022.4,7,7,19.7,20.5,No,No,-33.8607,151.205
5/1/2013,3,16.9,25,0,1.2,7.4,37,15,17,86,61,1018.7,1014.3,7,5,18.1,24.2,No,No,-33.8607,151.205
5/2/2013,3,14.4,20.3,0,5.6,7.4,46,13,20,53,51,1025.3,1025.2,1,4,15.1,18.7,No,No,-33.8607,151.205
5/3/2013,3,11.1,22.9,0,3,10.2,31,19,19,72,51,1026.7,1020.5,1,7,14,20.9,No,No,-33.8607,151.205
5/4/2013,3,14,26.4,0,4.4,6.2,56,19,37,50,56,1017.9,1018.5,7,3,17.4,20.2,No,No,-33.8607,151.205
5/5/2013,3,12.7,20.1,0,6.4,9.1,37,15,7,56,38,1025.1,1022.1,6,1,14.5,19.7,No,No,-33.8607,151.205
5/6/2013,3,10.8,20.1,0,3.4,8.2,35,13,17,68,60,1026.6,1024.5,3,7,14.3,19.2,No,No,-33.8607,151.205
5/7/2013,3,11.7,21.5,0,3,8.8,31,13,19,76,55,1028.7,1027.1,2,6,15.2,19.9,No,No,-33.8607,151.205
5/8/2013,3,12.4,21.6,0,3.4,5.3,22,13,9,80,51,1031.1,1028.1,7,4,15.2,21.2,No,No,-33.8607,151.205
5/9/2013,3,12.1,23.2,0,1.8,10.2,24,17,13,79,54,1030.7,1027.4,1,1,14.7,22,No,No,-33.8607,151.205
5/10/2013,3,12.5,23.5,0,3.6,10,26,20,13,77,53,1030.8,1028.4,1,1,14.3,22.9,No,No,-33.8607,151.205
5/11/2013,3,13,22.1,0,2,4.3,31,22,22,77,69,1030.2,1027.5,5,6,15.2,20.8,No,No,-33.8607,151.205
5/12/2013,3,14,22.1,0,3.6,7,28,13,13,93,59,1027.2,1022.7,8,2,14.3,21.4,No,No,-33.8607,151.205
5/13/2013,3,13.7,22.8,0,2,1.8,28,9,11,88,53,1018.9,1014.2,7,8,14.4,21.9,No,No,-33.8607,151.205
5/14/2013,3,14.2,21.3,0,2.4,6.9,41,20,13,60,31,1013.8,1011.1,7,6,14.2,20,No,No,-33.8607,151.205
5/15/2013,3,9.2,20.6,0.2,2.8,9.8,46,15,28,59,34,1013.2,1009.6,1,3,13.6,20.1,No,No,-33.8607,151.205
5/16/2013,3,13.6,20.6,0,5.4,8.3,50,22,31,55,36,1010.3,1007.3,2,3,16.9,19.4,No,No,-33.8607,151.205
5/17/2013,3,12.2,19.6,0,4.6,10.1,57,24,28,50,33,1011.9,1010.4,1,1,14.7,18.6,No,No,-33.8607,151.205
5/18/2013,3,11.1,20.6,0,3.8,10.1,41,17,22,53,31,1014.7,1011.8,1,1,13.2,19.1,No,No,-33.8607,151.205
5/19/2013,3,9.8,20.2,0,3.6,9.1,39,20,20,54,30,1016.8,1014.1,2,1,12.1,19,No,No,-33.8607,151.205
5/20/2013,3,10.1,20.7,0,4,8.5,44,19,22,61,37,1018.7,1014.7,4,3,11.3,19.6,No,No,-33.8607,151.205
5/21/2013,3,10.1,22.5,0,4,9.1,54,22,20,55,32,1015.3,1012.3,3,7,15.4,21.8,No,No,-33.8607,151.205
5/22/2013,3,9.4,16,0,2.2,1.3,31,17,20,71,79,1015,1010.1,6,8,11.2,14.5,No,Yes,-33.8607,151.205
5/23/2013,3,10.6,17.4,27.2,5.2,0.7,48,11,22,93,71,1013.7,1012.7,7,6,13.4,16.4,Yes,Yes,-33.8607,151.205
5/24/2013,3,12.7,20.6,30.6,2.4,5.8,48,28,24,89,47,1019.1,1017.9,7,7,13,20.1,Yes,Yes,-33.8607,151.205
5/26/2013,3,9.5,21.3,0,1.8,10.1,30,20,4,70,45,1025.7,1023,1,1,11.3,20.2,No,Yes,-33.8607,151.205
5/27/2013,3,10.6,20.2,3.4,3.2,7.1,41,22,24,84,58,1029.4,1028.2,5,5,11.6,19.4,Yes,Yes,-33.8607,151.205
5/28/2013,3,11.6,19.3,28.6,1.2,3.2,30,11,15,94,75,1032.8,1030.2,8,8,12.9,17.8,Yes,No,-33.8607,151.205
5/29/2013,3,11.3,21.1,0.2,2,4.9,20,15,15,94,60,1031.4,1027.8,8,3,12.3,20.6,No,No,-33.8607,151.205
5/30/2013,3,11.7,21.4,0,2.6,5.7,24,15,7,90,67,1029.3,1025.9,4,5,12.8,20,No,No,-33.8607,151.205
6/1/2013,3,13.9,21.2,0,4,3,52,11,17,62,61,1019.4,1014.1,6,7,18.7,19.9,No,Yes,-33.8607,151.205
6/2/2013,3,14.4,15.8,14.8,3,1.8,81,20,24,92,68,1006.1,1009.8,8,7,14.7,14,Yes,Yes,-33.8607,151.205
6/4/2013,3,10.3,21.1,0,3.6,9.3,41,24,9,66,53,1026.3,1023.8,3,1,12.2,20.7,No,No,-33.8607,151.205
6/5/2013,3,10.5,19.3,0,3.4,2.3,26,7,13,87,70,1025.8,1021.6,8,7,11.7,18.3,No,No,-33.8607,151.205
6/6/2013,3,11.7,20.1,0,1.6,2.3,26,15,6,61,59,1022.8,1020,7,8,14.9,19.2,No,No,-33.8607,151.205
6/7/2013,3,14.9,22.2,0,2,1.8,41,20,15,70,55,1019.8,1018.5,8,6,18.5,21.6,No,No,-33.8607,151.205
6/8/2013,3,13.5,19.2,0,3,1.5,43,19,11,73,53,1030.7,1028.6,7,7,14.2,17.5,No,No,-33.8607,151.205
6/9/2013,3,11,18.9,0,7,6.9,26,13,15,80,63,1028.6,1024.3,4,7,12.6,18.4,No,No,-33.8607,151.205
6/10/2013,3,10.5,21.5,0,1.4,3.9,28,13,17,90,67,1021.6,1018.7,2,8,11.1,18.5,No,No,-33.8607,151.205
6/11/2013,3,10.5,19.6,0.8,0.2,8.5,30,17,9,94,54,1021,1017.6,3,6,11.3,18.4,No,No,-33.8607,151.205
6/12/2013,3,10.4,16,0,2,1,41,13,19,85,90,1015.1,1009.7,7,6,11.6,15.8,No,Yes,-33.8607,151.205
6/13/2013,3,10.6,20.9,8.4,0.6,8.6,48,15,20,89,45,1007,1004.3,3,3,13.4,20.1,Yes,No,-33.8607,151.205
6/14/2013,3,11.7,20.1,0,3.6,7,46,17,22,64,46,1005.2,1002.9,2,6,14,18.5,No,No,-33.8607,151.205
6/15/2013,3,13,17.6,0,4,5,43,24,11,58,46,1009.9,1009.9,4,7,13.8,17.3,No,No,-33.8607,151.205
6/16/2013,3,9.7,19.1,0,3.2,9.5,41,24,15,59,50,1014.4,1011.6,2,4,11.8,16.6,No,No,-33.8607,151.205
6/17/2013,3,8.5,17.7,0,3.8,3.8,44,26,17,65,56,1009.5,1008.3,6,6,11,15.7,No,No,-33.8607,151.205
6/18/2013,3,8,19.2,0,1.6,8,43,26,17,76,52,1013.5,1012.2,1,2,9.6,16.1,No,Yes,-33.8607,151.205
6/19/2013,3,8.7,16.1,15.6,3.2,0,52,24,26,80,65,1021.7,1021.3,6,7,10.5,14.3,Yes,Yes,-33.8607,151.205
6/20/2013,3,8.7,16.6,1.4,2.8,7.2,39,26,20,71,57,1024.2,1021,3,6,9.9,15.6,Yes,No,-33.8607,151.205
6/21/2013,3,8,17.3,0,2,8.1,31,19,15,79,58,1021.6,1019.1,5,2,9.6,16.1,No,Yes,-33.8607,151.205
6/22/2013,3,7.7,13.5,1.2,2.4,0,39,26,17,87,83,1024.9,1024.2,7,7,7.9,11.9,Yes,Yes,-33.8607,151.205
6/23/2013,3,7.6,13.9,56.2,0.4,0.2,41,7,19,93,90,1028.5,1026.7,7,7,11,11.9,Yes,Yes,-33.8607,151.205
6/24/2013,3,9.6,13.8,53.4,0.2,0.1,39,17,11,91,77,1021.7,1017.9,7,7,10.2,13.1,Yes,Yes,-33.8607,151.205
6/25/2013,3,10,16.7,5,2.4,0.2,41,17,9,93,90,1016.3,1014.8,8,6,10.6,13.8,Yes,Yes,-33.8607,151.205
6/26/2013,3,10.5,19.8,15.6,1.4,4.3,52,31,20,84,63,1019.8,1020,7,7,16.7,19.2,Yes,No,-33.8607,151.205
6/27/2013,3,12.8,18.8,0.8,3.4,2.4,26,15,19,93,64,1022.9,1020.7,7,7,13.4,17.6,No,Yes,-33.8607,151.205
6/28/2013,3,12.9,16.1,16.8,2.8,0,41,9,15,93,83,1023.7,1022.5,7,7,13.3,16,Yes,Yes,-33.8607,151.205
6/29/2013,3,12.7,14.2,41,3.2,0,28,9,9,90,87,1024.8,1023,8,8,13.6,13.2,Yes,Yes,-33.8607,151.205
6/30/2013,3,11.3,17.1,51,2,2.2,37,11,9,94,82,1025.7,1023.5,7,5,12.4,16.6,Yes,Yes,-33.8607,151.205
7/1/2013,3,8.8,20.1,9.8,0.8,9.8,26,20,7,89,56,1024.4,1021.9,1,1,10.3,18.5,Yes,No,-33.8607,151.205
7/2/2013,3,8.8,19.9,0,2.2,9.8,33,20,4,77,46,1024.9,1021,1,2,10.2,18.9,No,No,-33.8607,151.205
7/3/2013,3,8.1,19.8,0,2.2,9.5,26,19,13,82,53,1024.4,1020.8,1,0,9.5,19.2,No,No,-33.8607,151.205
7/4/2013,3,8.5,23.4,0,2.6,9.8,43,17,22,57,38,1016.3,1011.5,0,1,14.7,22.6,No,No,-33.8607,151.205
7/5/2013,3,14.7,19.5,0,4,9.7,65,20,33,54,30,1010.9,1010.8,1,1,16,18.5,No,No,-33.8607,151.205
7/6/2013,3,7.8,17.4,0,4.2,9.8,37,13,19,57,31,1020.1,1018.1,0,0,10.2,17.1,No,No,-33.8607,151.205
7/7/2013,3,7.4,19.1,0,4,9.5,35,19,11,62,35,1026.9,1025.6,1,1,10,17.7,No,No,-33.8607,151.205
7/8/2013,3,7.4,19.2,0,2.2,9.1,33,19,17,68,36,1031.7,1029.9,0,3,9.3,17.7,No,Yes,-33.8607,151.205
7/9/2013,3,8.7,13.6,1.6,3,1,30,19,17,83,84,1035,1033.6,5,7,9.3,11.8,Yes,Yes,-33.8607,151.205
7/10/2013,3,8.9,15.9,8,1.2,2.7,24,17,13,84,71,1033.5,1031.6,7,6,10.3,14.8,Yes,No,-33.8607,151.205
7/11/2013,3,8.2,18.4,0,1.2,8.2,30,20,9,91,62,1035.3,1032.2,2,5,9.1,17,No,No,-33.8607,151.205
7/12/2013,3,8.3,20.2,0.2,1.2,8.4,30,17,6,92,46,1031.1,1027.1,1,1,9.6,19.2,No,No,-33.8607,151.205
7/13/2013,3,8.3,17.4,0,3,5,26,15,2,85,61,1029.2,1027.3,7,6,10.9,17.3,No,No,-33.8607,151.205
7/14/2013,3,8.9,18.4,0,1,8.5,24,11,15,88,60,1028.4,1025.4,4,8,10.7,17.5,No,No,-33.8607,151.205
7/15/2013,3,10.7,22,0.2,3.6,1.7,33,4,13,78,58,1024.6,1021.9,7,7,15.4,19.4,No,Yes,-33.8607,151.205
7/16/2013,3,14.4,21.6,1.4,0.2,3.4,26,9,13,88,67,1024.7,1022.1,7,4,15.1,19.6,Yes,Yes,-33.8607,151.205
7/17/2013,3,13,24.3,4.8,1.8,8.7,22,9,9,85,48,1023.8,1020.6,4,3,14.5,23,Yes,No,-33.8607,151.205
7/18/2013,3,13.3,22.6,0,2.4,3.9,30,7,13,85,72,1022.9,1019.4,7,7,15.1,19.4,No,No,-33.8607,151.205
7/19/2013,3,15,20.4,0,3.2,1.6,57,15,17,66,73,1015.7,1011.7,4,7,18.1,17.5,No,No,-33.8607,151.205
7/20/2013,3,14.5,20.4,0.8,2.4,8.9,48,17,26,65,38,1009.3,1005.4,2,2,16.5,19.8,No,No,-33.8607,151.205
7/21/2013,3,8.5,16.3,0.2,6.4,10.1,54,24,31,49,29,1016,1013.2,1,1,11,16,No,No,-33.8607,151.205
7/22/2013,3,8.7,17.2,0,3.8,9.9,54,17,26,54,28,1019.4,1016.3,2,2,12.2,16.6,No,No,-33.8607,151.205
7/23/2013,3,7.1,17.7,0,3.2,8,44,17,19,60,42,1019.9,1018.5,1,7,11,15.9,No,No,-33.8607,151.205
7/24/2013,3,10.1,17,0,4,4.8,48,17,20,61,46,1026.6,1026.4,1,6,12.3,16.6,No,No,-33.8607,151.205
7/25/2013,3,7.4,19.6,0,3,8.6,33,20,9,72,38,1029.8,1026.6,1,3,8.8,17.9,No,No,-33.8607,151.205
7/26/2013,3,7.9,20.3,0,3.4,9.3,22,15,7,75,32,1025.9,1023.3,5,1,9.2,19.5,No,No,-33.8607,151.205
7/27/2013,3,7.4,18.7,0,1.8,9.9,28,22,15,62,56,1031,1028.2,1,1,9.4,17.8,No,No,-33.8607,151.205
7/28/2013,3,8.3,18.8,0,3.6,6.8,26,7,17,84,64,1029.8,1025.8,6,6,9.7,18.1,No,No,-33.8607,151.205
7/29/2013,3,9.7,24,0,2.6,10.2,37,22,11,53,35,1025.2,1020.8,6,1,17.6,23.3,No,No,-33.8607,151.205
7/30/2013,3,11.1,21.5,0,3.4,3.4,48,13,6,73,49,1019.9,1017.8,6,5,12.8,19.7,No,Yes,-33.8607,151.205
7/31/2013,3,12.6,18.4,5.6,2.6,8.1,43,20,22,82,61,1023.9,1022.7,7,4,13.9,17,Yes,No,-33.8607,151.205
8/1/2013,3,8.1,19.6,0,3.4,10.1,30,24,15,71,54,1023.3,1020.1,2,3,11,17.5,No,No,-33.8607,151.205
8/2/2013,3,9.1,20.3,0,2.2,6.8,31,15,19,83,31,1018,1012.7,7,3,10.9,19.7,No,No,-33.8607,151.205
8/3/2013,3,10.4,19.6,0,3.6,10,37,7,4,51,29,1016,1012.1,4,1,13.5,19.2,No,No,-33.8607,151.205
8/4/2013,3,10.9,19.9,0,4.2,8.5,44,9,24,54,29,1013.6,1012.2,6,5,14,18,No,No,-33.8607,151.205
8/5/2013,3,9.5,21,0,3.8,10,50,11,15,52,34,1017.6,1013.6,1,2,13.1,20.4,No,No,-33.8607,151.205
8/6/2013,3,11.9,23.9,0,5.6,8.7,52,20,17,48,30,1011.9,1008,5,5,16.4,22.1,No,No,-33.8607,151.205
8/7/2013,3,10.8,17.9,0.8,4.8,8.3,35,17,15,57,49,1013.6,1009.3,2,7,13,16,No,Yes,-33.8607,151.205
8/8/2013,3,9.3,13.1,9.6,3.8,1.3,57,24,24,85,74,1008.3,1009.8,7,7,9.3,12.6,Yes,Yes,-33.8607,151.205
8/9/2013,3,7,17.4,4.2,0.6,6.7,35,20,9,60,43,1018.9,1014,4,7,11.2,17.1,Yes,No,-33.8607,151.205
